x=[ 0.5  0.5] t=1 target value=1.2499999999932498
x=[ 0.49996521  0.33337199] t=1692.8927393268411 target value=1.883134714830703e-08
x=[ 0.49996837  0.33336848] t=1862.1820132595253 target value=1.556438888883349e-08
x=[ 0.49997124  0.33336529] t=2048.400214585478 target value=1.2864106224697025e-08
x=[ 0.49997386  0.33336238] t=2253.240236044026 target value=1.0632220437400974e-08
x=[ 0.49997623  0.33335974] t=2478.564259648429 target value=8.787509386820602e-09
x=[ 0.49997839  0.33335734] t=2726.4206856132723 target value=7.262819678999222e-09
x=[ 0.49998036  0.33335516] t=2999.0627541746 target value=6.002636609991896e-09
x=[ 0.49998214  0.33335318] t=3298.96902959206 target value=4.961087540777953e-09
x=[ 0.49998377  0.33335137] t=3628.8659325512663 target value=4.1002508055498765e-09
x=[ 0.49998524  0.33334973] t=3991.7525258063934 target value=3.388770153378573e-09
x=[ 0.49998658  0.33334824] t=4390.927778387033 target value=2.8007320906908717e-09
x=[ 0.4999878   0.33334689] t=4830.020556225737 target value=2.3147279648583208e-09
x=[ 0.49998891  0.33334566] t=5313.0226118483115 target value=1.913058156333136e-09
x=[ 0.49998992  0.33334454] t=5844.324873033143 target value=1.5810783793313021e-09
x=[ 0.49999083  0.33334352] t=6428.757360336458 target value=1.306709407344897e-09
x=[ 0.49999167  0.33334259] t=7071.633096370105 target value=1.0799503513680975e-09
x=[ 0.49999243  0.33334175] t=7778.796406007116 target value=8.925375993840134e-10
x=[ 0.49999311  0.33334098] t=8556.676046607829 target value=7.376463884156692e-10
x=[ 0.49999374  0.33334029] t=9412.343651268613 target value=6.096314564274508e-10
x=[ 0.49999431  0.33333966] t=10353.578016395475 target value=5.038387485001294e-10
x=[ 0.49999483  0.33333908] t=11388.935818035023 target value=4.164029121511703e-10
x=[ 0.4999953   0.33333856] t=12527.829399838525 target value=3.441442686380469e-10
