x=[ 0.5  0.5] y=[ 0.5  0.5] a=0.0058823529411764705 target value=1.25
x=[ 0.4236512   0.40456401] y=[ 0.41820845  0.39776056] a=0.08199533916207795 target value=0.06992385898834641
x=[ 0.43729565  0.40412296] y=[ 0.44494275  0.40387578] a=0.12758205193318803 target value=0.06318127031845222
x=[ 0.44494275  0.39115098] y=[ 0.44965466  0.38315804] a=0.16436278751958547 target value=0.042485437185796116
x=[ 0.46237946  0.38315804] y=[ 0.47321973  0.37818889] a=0.19391039173720842 target value=0.03336562838133261
x=[ 0.47321973  0.36546409] y=[ 0.47987084  0.35460786] a=0.21715812853428762 target value=0.013190795730558591
x=[ 0.48623324  0.36097026] y=[ 0.49407209  0.35826334] a=0.23506535690104663 target value=0.014558022493204703
x=[ 0.49407209  0.35190094] y=[ 0.49871064  0.34653427] a=0.24861045661547093 target value=0.008994796584637754
x=[ 0.50507304  0.34653427] y=[ 0.51148464  0.34340646] a=0.2587079004739307 target value=0.013693109276420756
x=[ 0.51148464  0.34340646] y=[ 0.51517625  0.34160555] a=0.26615105933442607 target value=0.01817134370463691
x=[ 0.50881385  0.33524315] y=[ 0.50729048  0.33058695] a=0.2715913236515971 target value=0.004483462979898434
x=[ 0.51365288  0.33694935] y=[ 0.51639348  0.33791566] a=0.2755427025459665 target value=0.011599024151053072
x=[ 0.51003108  0.33155326] y=[ 0.50799063  0.32851321] a=0.27839943933901873 target value=0.002881856464419741
x=[ 0.51435303  0.33487561] y=[ 0.51677855  0.33674014] a=0.28045783952399517 target value=0.009941221561163616
x=[ 0.51041615  0.33037774] y=[ 0.50821293  0.32786058] a=0.2819373922082487 target value=0.0025163589186689705
x=[ 0.51457533  0.33422297] y=[ 0.51689822  0.33637053] a=0.2829990072223307 target value=0.00946683406922233
x=[ 0.51053582  0.33000813] y=[ 0.50828308  0.3276576 ] a=0.2837597783635163 target value=0.0024152773688683737
x=[ 0.51464548  0.33402   ] y=[ 0.51693493  0.33625498] a=0.284304464581955 target value=0.009324889567224659
x=[ 0.51057253  0.32989258] y=[ 0.50830524  0.32759497] a=0.2846941873974052 target value=0.002384699349001096
x=[ 0.51466764  0.33395737] y=[ 0.51694603  0.33621888] a=0.2849729038840859 target value=0.009282135251865498
